NAME,PARTY,STATE_NAME,LonX,LatY,icpsr
Lois Frankel,Democrat,Florida,-80.167,26.546,21321
,Vacant,Florida,-80.166,26.277,20959
Debbie Wasserman Schultz,Democrat,Florida,-80.289,26.064,20504
Frederica S. Wilson,Democrat,Florida,-80.216,25.911,21118
Mario Diaz-Balart,Republican,Florida,-81.157,26.226,20316
Carlos Gimenez,Republican,Florida,-80.817,25.452,22118
Maria Elvira Salazar,Republican,Florida,-80.286,25.699,22150
Earl L. “Buddy” Carter,Republican,Georgia,-81.991,31.308,21513
Sanford D. Bishop Jr.,Democrat,Georgia,-84.411,31.821,29339
A. Drew Ferguson IV,Republican,Georgia,-84.733,33.148,21717
Henry C. “Hank” Johnson Jr.,Democrat,Georgia,-84.05,33.697,20712
Nikema Williams,Democrat,Georgia,-84.401,33.707,22156
Lucy McBath,Democrat,Georgia,-84.345,34.01,21944
Carolyn Bourdeaux,Democrat,Georgia,-84.083,34.042,22104
Austin Scott,Republican,Georgia,-83.453,31.78,21123
Andrew Clyde,Republican,Georgia,-83.687,34.506,22110
Jody B. Hice,Republican,Georgia,-83.062,33.427,21514
Barry Loudermilk,Republican,Georgia,-84.651,34.191,21515
Rick W. Allen,Republican,Georgia,-82.221,32.411,21516
David Scott,Democrat,Georgia,-84.564,33.626,20321
Marjorie Taylor Greene,Republican,Georgia,-85.095,34.433,22121
Ed Case,Democrat,Hawaii,-157.907,21.368,20322
Kai Kahele,Democrat,Hawaii,-156.291,20.208,22128
Ashley Hinson,Republican,Iowa,-91.892,42.525,22124
Mariannette Miller-Meeks,Republican,Iowa,-92.149,41.208,22139
Cindy Axne,Democrat,Iowa,-94.637,41.204,21902
Randy Feenstra,Republican,Iowa,-94.641,42.626,22113
Russ Fulcher,Republican,Idaho,-116.033,45.363,21920
Michael K. Simpson,Republican,Idaho,-113.362,43.469,29910
Bobby L. Rush,Democrat,Illinois,-87.834,41.544,29346
Robin L. Kelly,Democrat,Illinois,-87.796,41.258,21371
DMarie Newman,Democrat,Illinois,-87.896,41.678,22144
Jesús G. Garcia,Democrat,Illinois,-87.765,41.872,21921
Mike Quigley,Democrat,Illinois,-87.835,41.932,20954
Sean Casten,Democrat,Illinois,-88.179,42.028,21906
Danny K. Davis,Democrat,Illinois,-87.737,41.864,29717
Raja Krishnamoorthi,Democrat,Illinois,-88.097,42.008,21730
Janice D. Schakowsky,Democrat,Illinois,-87.81,42.052,29911
Bradley Scott Schneider,Democrat,Illinois,-87.938,42.279,21326
Bill Foster,Democrat,Illinois,-88.146,41.644,20749
Mike Bost,Republican,Illinois,-89.432,37.99,21519
Rodney Davis,Republican,Illinois,-89.519,39.512,21328
Lauren Underwood,Democrat,Illinois,-88.432,42.028,21979
Mary Miller,Republican,Illinois,-88.436,38.911,22138
Adam Kinzinger,Republican,Illinois,-88.8,41.395,21128
Cheri Bustos,Democrat,Illinois,-90.21,41.39,21329
Darin LaHood,Republican,Illinois,-90.076,40.23,21562
Frank J. Mrvan,Democrat,Indiana,-87.158,41.458,22142
,Vacant,Indiana,-86.233,41.244,22171
Jim Banks,Republican,Indiana,-85.231,41.102,21702
James R. Baird,Republican,Indiana,-86.862,40.384,21903
Victoria Spartz,Republican,Indiana,-85.861,40.254,22151
Greg Pence,Republican,Indiana,-85.363,39.481,21952
André Carson,Democrat,Indiana,-86.139,39.747,20757
Larry Bucshon,Republican,Indiana,-87.198,38.739,21132
Trey Hollingsworth,Republican,Indiana,-86.207,38.787,21725
Tracy Mann,Republican,Kansas,-99.403,38.73,22134
Jake LaTurner,Republican,Kansas,-95.435,38.488,22130
Sharice Davids,Democrat,Kansas,-94.793,38.892,21914
Ron Estes,Republican,Kansas,-97.74,37.544,21750
James Comer,Republican,Kentucky,-87.185,37.082,21565
Brett Guthrie,Republican,Kentucky,-85.989,37.536,20916
John A. Yarmuth,Democrat,Kentucky,-85.694,38.188,20723
Thomas Massie,Republican,Kentucky,-84.427,38.571,31102
Harold Rogers,Republican,Kentucky,-83.522,37.369,14854
Andy Barr,Republican,Kentucky,-84.163,38.048,21333
Steve Scalise,Republican,Louisiana,-90.113,29.736,20759
Troy A. Carter,Democrat,Louisiana,-90.642,30.049,22158
Clay Higgins,Republican,Louisiana,-92.473,30.024,21724
Mike Johnson,Republican,Louisiana,-93.18,31.798,21727
Julia Letlow,Republican,Louisiana,-91.825,31.768,22157
Garret Graves,Republican,Louisiana,-91.055,30.311,21523
Richard E. Neal,Democrat,Massachusetts,-72.857,42.322,15616
James P. McGovern,Democrat,Massachusetts,-72.118,42.386,29729
Lori Trahan,Democrat,Massachusetts,-71.575,42.585,21977
Jake Auchincloss,Democrat,Massachusetts,-71.233,41.995,22100
Katherine M. Clark,Democrat,Massachusetts,-71.311,42.355,21375
Seth Moulton,Democrat,Massachusetts,-70.98,42.636,21525
Ayanna Pressley,Democrat,Massachusetts,-71.081,42.302,21955
Stephen F. Lynch,Democrat,Massachusetts,-71.023,42.146,20119
William R. Keating,Democrat,Massachusetts,-70.617,41.747,21140
Andy Harris,Republican,Maryland,-75.971,38.865,21139
C. A. Dutch Ruppersberger,Democrat,Maryland,-76.489,39.347,20329
John P. Sarbanes,Democrat,Maryland,-76.751,39.191,20724
Anthony G. Brown,Democrat,Maryland,-76.752,38.967,21707
