id,NAME,PARTY,STATE_NAME,LonX,LatY,pagerank,degree,distance to center,betweenness,closeness
14854,Harold Rogers,Republican,Kentucky,-83.522,37.369,0.001034213,0,347.9347141,0,0
14863,Christopher H. Smith,Republican,New Jersey,-74.322,40.163,0.001034213,0,1120.607725,0,0
14873,Steny H. Hoyer,Democrat,Maryland,-76.768,38.559,0.001034213,5,906.5722855,0,0.474074074
15019,Jim Cooper,Democrat,Tennessee,-87.07,36.177,0.001034213,120,263.7783799,5.590404897,0.705882353
15029,Marcy Kaptur,Democrat,Ohio,-82.779,41.511,0.001041574,115,500.1259758,5.310499147,0.693140794
15410,Peter A. DeFazio,Democrat,Oregon,-123.214,43.498,0.001034213,47,3046.528059,0.012195122,0.548571429
15433,Kweisi Mfume,Democrat,Maryland,-76.796,39.402,0.001034213,49,903.7958523,0,0.547008547
15438,David E. Price,Democrat,North Carolina,-78.755,36.04,0.001034213,0,796.8952668,0,0
15446,Fred Upton,Republican,Michigan,-85.9,42.187,0.001034213,0,419.4288266,0,0
15448,Nancy Pelosi,Democrat,California,-122.435,37.763,0.001034213,0,3063.17521,0,0
15454,Frank Pallone Jr.,Democrat,New Jersey,-74.267,40.461,0.001086202,157,1128.646519,178.3101522,0.834782609
15616,Richard E. Neal,Democrat,Massachusetts,-72.857,42.322,0.001055442,130,1282.451784,9.970247156,0.732824427
20104,Adam B. Schiff,Democrat,California,-118.291,34.25,0.001099364,160,2809.74718,77.1533997,0.827586207
20107,Darrell Issa,Republican,California,-116.618,33.115,0.001034213,0,2707.668244,0,0
20119,Stephen F. Lynch,Democrat,Massachusetts,-71.023,42.146,0.001068639,145,1425.552298,36.57678753,0.777327935
20122,Betty McCollum,Democrat,Minnesota,-92.981,45.002,0.001075159,146,862.6537437,28.04241709,0.780487805
20124,Sam Graves,Republican,Missouri,-93.298,39.937,0.001034213,0,547.3726989,0,0
20136,James R. Langevin,Democrat,Rhode Island,-71.624,41.65,0.001081718,135,1366.827673,27.03206067,0.747081712
20138,Joe Wilson,Republican,South Carolina,-81.375,33.638,0.001034213,0,755.8363569,0,0
20145,Rick Larsen,Democrat,Washington,-122.491,48.354,0.001034213,7,3018.155476,0,0.483627204
20301,Mike Rogers,Republican,Alabama,-85.707,33.156,0.001034213,0,614.3209506,0,0
20305,RaÃºl M. Grijalva,Democrat,Arizona,-112.444,32.366,0.001034213,0,2378.889802,0,0
20310,Linda T. SÃ¡nchez,Democrat,California,-118.062,33.941,0.00112576,148,2801.130456,32.95329403,0.786885246
20316,Mario Diaz-Balart,Republican,Florida,-81.157,26.226,0.001034213,0,1481.901339,0,0
20321,David Scott,Democrat,Georgia,-84.564,33.626,0.001095905,118,596.1454072,8.650691187,0.700729927
20322,Ed Case,Democrat,Hawaii,-157.907,21.368,0.001034213,19,6907.001406,0,0.5
20329,C. A. Dutch Ruppersberger,Democrat,Maryland,-76.489,39.347,0.001104493,115,929.9026572,4.230112279,0.693140794
20340,G. K. Butterfield,Democrat,North Carolina,-77.491,36.009,0.001078001,46,903.5810217,0,0.537815126
20342,Michael R. Turner,Republican,Ohio,-83.957,39.701,0.001034213,0,307.671802,0,0
20343,Tim Ryan,Democrat,Ohio,-80.97,41.156,0.001113478,129,605.5116493,10.7525107,0.730038023
20344,Tom Cole,Republican,Oklahoma,-97.75,34.58,0.001034213,0,1039.577834,0,0
20355,Michael C. Burgess,Republican,Texas,-97.132,33.195,0.001034213,0,1073.793346,0,0
20356,John R. Carter,Republican,Texas,-97.539,30.837,0.001034213,0,1274.59977,0,0
20501,Jim Costa,Democrat,California,-120.531,37.112,0.001034213,6,2915.737894,0,0.474074074
20504,Debbie Wasserman Schultz,Democrat,Florida,-80.289,26.064,0.001367727,163,1531.207939,174.9234321,0.838427948
20517,Emanuel Cleaver,Democrat,Missouri,-93.772,39.142,0.001278649,155,572.9523015,64.14308948,0.810126582
20519,Brian Higgins,Democrat,New York,-78.835,42.959,0.001137234,148,857.831358,26.7767282,0.786885246
20521,Virginia Foxx,Republican,North Carolina,-81.441,35.906,0.001034213,0,588.1644495,0,0
20522,Patrick T. McHenry,Republican,North Carolina,-80.586,36.095,0.001034213,0,644.992656,0,0
20527,Louie Gohmert,Republican,Texas,-94.559,31.959,0.001034213,0,990.8763412,0,0
20529,Al Green,Democrat,Texas,-95.496,29.645,0.001181307,150,1249.15443,35.01658694,0.79338843
20530,Michael T. McCaul,Republican,Texas,-96.596,29.971,0.001034213,0,1285.038551,0,0
20533,Henry Cuellar,Democrat,Texas,-98.909,27.857,0.001042107,15,1609.617821,0,0.489795918
20535,Cathy McMorris Rodgers,Republican,Washington,-117.879,47.59,0.001034213,0,2665.616871,0,0
20537,Gwen Moore,Democrat,Wisconsin,-87.952,43.064,0.001075291,67,506.2436252,0.151968741,0.580060423
20538,Doris O. Matsui,Democrat,California,-121.479,38.595,0.001128505,106,2962.545995,1.704988414,0.664359862
20542,Albio Sires,Democrat,New Jersey,-74.116,40.729,0.001069159,60,1145.097991,0.935098427,0.574850299
20702,Jerry McNerney,Democrat,California,-121.303,38.01,0.001253939,159,2960.265849,57.59920266,0.824034335
20703,Kevin McCarthy,Republican,California,-118.537,35.615,0.001034213,0,2785.472585,0,0
20704,Doug Lamborn,Republican,Colorado,-105.338,38.822,0.001034213,0,1572.151611,0,0
20705,Ed Perlmutter,Democrat,Colorado,-105.041,39.827,0.001186857,142,1541.721884,27.00023539,0.768
20706,Joe Courtney,Democrat,Connecticut,-72.205,41.664,0.001297697,163,1319.541118,112.5543528,0.838427948
20708,Kathy Castor,Democrat,Florida,-82.478,28.041,0.001113446,93,1247.391769,0.866817747,0.642140468
20709,Vern Buchanan,Republican,Florida,-82.301,27.527,0.001034213,0,1307.092053,0,0
