NAME,PARTY,STATE_NAME,LonX,LatY,icpsr,district_code,state_abbrev,born
Ayanna Pressley,Democrat,Massachusetts,-71.081,42.302,21955,7,MA,1974
Stephen F. Lynch,Democrat,Massachusetts,-71.023,42.146,20119,8,MA,1955
William R. Keating,Democrat,Massachusetts,-70.617,41.747,21140,9,MA,1952
Andy Harris,Republican,Maryland,-75.971,38.865,21139,1,MD,1957
C. A. Dutch Ruppersberger,Democrat,Maryland,-76.489,39.347,20329,2,MD,1946
John P. Sarbanes,Democrat,Maryland,-76.751,39.191,20724,3,MD,1962
Anthony G. Brown,Democrat,Maryland,-76.752,38.967,21707,4,MD,1961
Steny H. Hoyer,Democrat,Maryland,-76.768,38.559,14873,5,MD,1939
David Trone,Democrat,Maryland,-78.387,39.499,21978,6,MD,1955
Kweisi Mfume,Democrat,Maryland,-76.796,39.402,15433,7,MD,1948
Jamie Raskin,Democrat,Maryland,-77.251,39.433,21741,8,MD,1962
Chellie Pingree,Democrat,Maine,-70.119,43.877,20920,1,ME,1955
Jared F. Golden,Democrat,Maine,-69.128,45.556,21923,2,ME,1982
Jack Bergman,Republican,Michigan,-86.443,45.865,21704,1,MI,1947
Bill Huizenga,Republican,Michigan,-85.991,43.513,21142,2,MI,1969
Peter Meijer,Republican,Michigan,-85.244,42.717,22137,3,MI,1988
John R. Moolenaar,Republican,Michigan,-84.751,43.735,21526,4,MI,1961
Daniel T. Kildee,Democrat,Michigan,-83.778,43.686,21372,5,MI,1958
Fred Upton,Republican,Michigan,-85.9,42.187,15446,6,MI,1953
Tim Walberg,Republican,Michigan,-84.333,42.102,20725,7,MI,1951
Elissa Slotkin,Democrat,Michigan,-83.941,42.647,21965,8,MI,1976
Andy Levin,Democrat,Michigan,-83.053,42.532,21940,9,MI,1960
Lisa McClain,Republican,Michigan,-82.99,43.323,22136,10,MI,1966
Haley Stevens,Democrat,Michigan,-83.457,42.532,21972,11,MI,1983
Debbie Dingell,Democrat,Michigan,-83.463,42.215,21529,12,MI,1953
Rashida Tlaib,Democrat,Michigan,-83.252,42.325,21975,13,MI,1976
Brenda L. Lawrence,Democrat,Michigan,-83.203,42.48,21530,14,MI,1954
Brad Finstad,Democrat,Minnesota,-93.705,43.887,22167,1,MN,1976
Angie Craig,Democrat,Minnesota,-92.849,44.488,21910,2,MN,1972
Dean Phillips,Democrat,Minnesota,-93.53,44.996,21953,3,MN,1969
Betty McCollum,Democrat,Minnesota,-92.981,45.002,20122,4,MN,1954
Ilhan Omar,Democrat,Minnesota,-93.295,44.981,21950,5,MN,1982
Tom Emmer,Republican,Minnesota,-93.854,45.335,21531,6,MN,1961
Michelle Fischbach,Republican,Minnesota,-95.687,46.595,22114,7,MN,1965
Pete Stauber,Republican,Minnesota,-93.136,47.207,21969,8,MN,1966
Cori Bush,Democrat,Missouri,-90.295,38.728,22106,1,MO,1976
Ann Wagner,Republican,Missouri,-90.534,38.604,21337,2,MO,1962
Blaine Luetkemeyer,Republican,Missouri,-91.555,38.578,20926,3,MO,1952
Vicky Hartzler,Republican,Missouri,-93.31,38.284,21149,4,MO,1960
Emanuel Cleaver,Democrat,Missouri,-93.772,39.142,20517,5,MO,1944
Sam Graves,Republican,Missouri,-93.298,39.937,20124,6,MO,1963
Billy Long,Republican,Missouri,-93.698,36.989,21150,7,MO,1955
Jason Smith,Republican,Missouri,-90.93,37.19,21373,8,MO,1980
Trent Kelly,Republican,Mississippi,-89.006,34.196,21561,1,MS,1966
Bennie G. Thompson,Democrat,Mississippi,-90.346,33.2,29368,2,MS,1948
Michael Guest,Republican,Mississippi,-89.733,32.015,21927,3,MS,1970
Steven M. Palazzo,Republican,Mississippi,-89.094,31.057,21148,4,MS,1970
Matt Rosendale,Republican,Montana,-109.645,47.033,22148,1,MT,1960
G. K. Butterfield,Democrat,North Carolina,-77.491,36.009,20340,1,NC,1947
Deborah K. Ross,Democrat,North Carolina,-78.719,35.729,22149,2,NC,1963
Gregory F. Murphy,Republican,North Carolina,-76.891,35.378,21987,3,NC,1963
David E. Price,Democrat,North Carolina,-78.755,36.04,15438,4,NC,1940
Virginia Foxx,Republican,North Carolina,-81.441,35.906,20521,5,NC,1943
Kathy Manning,Democrat,North Carolina,-79.88,36.081,22135,6,NC,1956
David Rouzer,Republican,North Carolina,-78.349,34.661,21544,7,NC,1972
Richard Hudson,Republican,North Carolina,-79.54,35.293,21346,8,NC,1971
Dan Bishop,Republican,North Carolina,-79.698,34.902,21986,9,NC,1964
Patrick T. McHenry,Republican,North Carolina,-80.586,36.095,20522,10,NC,1975
Madison Cawthorn,Republican,North Carolina,-82.878,35.482,22109,11,NC,1995
Alma S. Adams,Democrat,North Carolina,-80.838,35.272,21545,12,NC,1946
Ted Budd,Republican,North Carolina,-79.794,35.911,21708,13,NC,1971
Kelly Armstrong,Republican,North Dakota,-100.469,47.446,21901,1,ND,1976
Mike Flood,Republican,Nebraska,-96.831,41.378,22166,1,NE,1975
Don Bacon,Republican,Nebraska,-96.16,41.229,21701,2,NE,1963
Adrian Smith,Republican,Nebraska,-100.232,41.549,20729,3,NE,1970
Chris Pappas,Democrat,New Hampshire,-71.223,43.476,21951,1,NH,1980
Ann M. Kuster,Democrat,New Hampshire,-71.719,43.769,21340,2,NH,1956
Donald Norcross,Democrat,New Jersey,-75.051,39.789,21536,1,NJ,1958
Jeff Van Drew,Democrat,New Jersey,-74.908,39.477,91980,2,NJ,1953
Andy Kim,Democrat,New Jersey,-74.563,39.919,21937,3,NJ,1982
Christopher H. Smith,Republican,New Jersey,-74.322,40.163,14863,4,NJ,1953
Josh S. Gottheimer,Democrat,New Jersey,-74.628,41.058,21723,5,NJ,1975
Frank Pallone Jr.,Democrat,New Jersey,-74.267,40.461,15454,6,NJ,1951
Tom Malinowski,Democrat,New Jersey,-74.789,40.628,21942,7,NJ,1965
Albio Sires,Democrat,New Jersey,-74.116,40.729,20542,8,NJ,1951
Bill Pascrell Jr.,Democrat,New Jersey,-74.078,40.862,29741,9,NJ,1937
Donald M. Payne Jr.,Democrat,New Jersey,-74.212,40.71,31103,10,NJ,1958
Mikie Sherrill,Democrat,New Jersey,-74.451,40.904,21964,11,NJ,1972
Bonnie Watson Coleman,Democrat,New Jersey,-74.571,40.373,21538,12,NJ,1945
Melanie A. Stansbury,Democrat,New Mexico,-106.055,34.769,22159,1,NM,1979
Yvette Herrell,Republican,New Mexico,-106.297,33.381,22123,2,NM,1964
Teresa Leger Fernandez,Democrat,New Mexico,-105.822,35.995,22131,3,NM,1959
Dina Titus,Democrat,Nevada,-115.152,36.138,20927,1,NV,1950
Mark E. Amodei,Republican,Nevada,-117.306,40.646,21196,2,NV,1958
Susie Lee,Democrat,Nevada,-115.114,35.731,21938,3,NV,1966
Steven Horsford,Democrat,Nevada,-116.001,38.091,21339,4,NV,1973
Lee M. Zeldin,Republican,New York,-72.688,40.913,21539,1,NY,1980
Andrew Garbarino,Republican,New York,-73.285,40.729,22117,2,NY,1984
Thomas R. Suozzi,Democrat,New York,-73.495,40.831,21747,3,NY,1962
Kathleen M. Rice,Democrat,New York,-73.616,40.672,21540,4,NY,1965
Gregory W. Meeks,Democrat,New York,-73.776,40.66,29776,5,NY,1953
Grace Meng,Democrat,New York,-73.824,40.735,21342,6,NY,1975
Nydia M. Velázquez,Democrat,New York,-73.947,40.687,29378,7,NY,1953
Hakeem S. Jeffries,Democrat,New York,-73.907,40.64,21343,8,NY,1970
Yvette D. Clarke,Democrat,New York,-73.948,40.642,20733,9,NY,1964
Jerrold Nadler,Democrat,New York,-73.992,40.694,29377,10,NY,1947
Nicole Malliotakis,Republican,New York,-74.136,40.584,22133,11,NY,1980
Carolyn B. Maloney,Democrat,New York,-73.951,40.749,29379,12,NY,1946
Adriano Espaillat,Democrat,New York,-73.928,40.839,21715,13,NY,1954
Alexandria Ocasio-Cortez,Democrat,New York,-73.856,40.804,21949,14,NY,1989
Ritchie Torres,Democrat,New York,-73.893,40.828,22154,15,NY,1988
Jamaal Bowman,Democrat,New York,-73.814,40.945,22105,16,NY,1976
Mondaire Jones,Democrat,New York,-73.911,41.159,22127,17,NY,1987
Sean Patrick Maloney,Democrat,New York,-74.08,41.411,21344,18,NY,1966
Patrick Ryan,Democrat,New York,-74.421,42.215,22169,19,NY,1982
Paul Tonko,Democrat,New York,-73.992,42.748,20934,20,NY,1949
Elise M. Stefanik,Republican,New York,-74.529,44.019,21541,21,NY,1984
Claudia Tenney,Republican,New York,-75.657,42.873,21749,22,NY,1961
Joseph Sempolinski,Republican,New York,-77.751,42.331,22170,23,NY,1983
John Katko,Republican,New York,-76.535,43.062,21542,24,NY,1962
Joseph D. Morelle,Democrat,New York,-77.682,43.161,21761,25,NY,1957
Brian Higgins,Democrat,New York,-78.835,42.959,20519,26,NY,1959
Chris Jacobs,Republican,New York,-78.222,42.892,21990,27,NY,1966
Steve Chabot,Republican,Ohio,-84.345,39.337,29550,1,OH,1953
Brad R. Wenstrup,Republican,Ohio,-83.566,39.02,21351,2,OH,1958
Joyce Beatty,Democrat,Ohio,-82.949,39.966,21352,3,OH,1950
Jim Jordan,Republican,Ohio,-83.476,40.716,20738,4,OH,1964
Robert E. Latta,Republican,Ohio,-84.042,41.155,20755,5,OH,1956
Bill Johnson,Republican,Ohio,-81.554,39.774,21162,6,OH,1954
Bob Gibbs,Republican,Ohio,-82.059,40.707,21165,7,OH,1954
Warren Davidson,Republican,Ohio,-84.416,39.904,21564,8,OH,1970
Marcy Kaptur,Democrat,Ohio,-82.779,41.511,15029,9,OH,1946
Michael R. Turner,Republican,Ohio,-83.957,39.701,20342,10,OH,1960
Shontel M. Brown,Democrat,Ohio,-81.589,41.37,22161,11,OH,1975
Troy Balderson,Republican,Ohio,-82.615,40.238,21759,12,OH,1962
Tim Ryan,Democrat,Ohio,-80.97,41.156,20343,13,OH,1973
David P. Joyce,Republican,Ohio,-81.006,41.553,21353,14,OH,1957
Mike Carey,Republican,Ohio,-82.753,39.577,22162,15,OH,1971
Anthony Gonzalez,Republican,Ohio,-81.738,40.973,21924,16,OH,1984
Kevin Hern,Republican,Oklahoma,-95.786,36.212,21760,1,OK,1961
Markwayne Mullin,Republican,Oklahoma,-95.452,35.155,21355,2,OK,1977
Frank D. Lucas,Republican,Oklahoma,-98.839,36.121,29393,3,OK,1960
Tom Cole,Republican,Oklahoma,-97.75,34.58,20344,4,OK,1949
Stephanie Bice,Republican,Oklahoma,-96.994,35.307,22102,5,OK,1973
Suzanne Bonamici,Democrat,Oregon,-123.293,45.688,21198,1,OR,1954
Cliff Bentz,Republican,Oregon,-119.552,43.86,22101,2,OR,1952
Earl Blumenauer,Democrat,Oregon,-122.199,45.389,29588,3,OR,1948
Peter A. DeFazio,Democrat,Oregon,-123.214,43.498,15410,4,OR,1947
Kurt Schrader,Democrat,Oregon,-123.117,45.016,20944,5,OR,1951
Brian Fitzpatrick,Republican,Pennsylvania,-75.115,40.333,21718,1,PA,1973
Brendan Boyle,Democrat,Pennsylvania,-75.06,40.048,21548,2,PA,1977
Dwight Evans,Democrat,Pennsylvania,-75.198,40.005,21566,3,PA,1954
Madeleine Dean,Democrat,Pennsylvania,-75.398,40.222,21915,4,PA,1959
Mary Gay Scanlon,Democrat,Pennsylvania,-75.379,39.922,21762,5,PA,1959
Chrissy Houlahan,Democrat,Pennsylvania,-75.777,40.024,21934,6,PA,1967
Susan Wild,Democrat,Pennsylvania,-75.418,40.728,21763,7,PA,1957
Matt Cartwright,Democrat,Pennsylvania,-75.406,41.37,21358,8,PA,1961
Dan Meuser,Republican,Pennsylvania,-76.172,40.771,21945,9,PA,1964
Scott Perry,Republican,Pennsylvania,-76.858,40.263,21356,10,PA,1962
Lloyd Smucker,Republican,Pennsylvania,-76.394,39.968,21745,11,PA,1964
Fred Keller,Republican,Pennsylvania,-77.045,41.349,21985,12,PA,1965
John Joyce,Republican,Pennsylvania,-78.259,40.104,21936,13,PA,1957
Guy Reschenthaler,Republican,Pennsylvania,-79.935,40.08,21956,14,PA,1983
Glenn Thompson,Republican,Pennsylvania,-78.91,41.204,20946,15,PA,1959
Mike Kelly,Republican,Pennsylvania,-80.128,41.496,21167,16,PA,1948
Conor Lamb,Democrat,Pennsylvania,-80.191,40.61,21756,17,PA,1984
Michael F. Doyle,Democrat,Pennsylvania,-79.903,40.371,29561,18,PA,1953
David N. Cicilline,Democrat,Rhode Island,-71.361,41.762,21172,1,RI,1961
James R. Langevin,Democrat,Rhode Island,-71.624,41.65,20136,2,RI,1964
Nancy Mace,Republican,South Carolina,-80.158,32.794,22132,1,SC,1977
Joe Wilson,Republican,South Carolina,-81.375,33.638,20138,2,SC,1947
Jeff Duncan,Republican,South Carolina,-82.339,34.356,21174,3,SC,1966
William R. Timmons IV,Republican,South Carolina,-82.172,34.941,21974,4,SC,1984
Ralph Norman,Republican,South Carolina,-81.02,34.539,21753,5,SC,1953
James E. Clyburn,Democrat,South Carolina,-80.525,33.226,39301,6,SC,1940
Tom Rice,Republican,South Carolina,-79.535,34.127,21359,7,SC,1957
Dusty Johnson,Republican,South Dakota,-100.23,44.436,21935,1,SD,1976
Diana Harshbarger,Republican,Tennessee,-82.795,36.215,22122,1,TN,1960
Tim Burchett,Republican,Tennessee,-83.826,36.047,21905,2,TN,1964
Charles J. “Chuck” Fleischmann,Republican,Tennessee,-84.504,35.766,21178,3,TN,1962
Scott DesJarlais,Republican,Tennessee,-85.96,35.45,21179,4,TN,1964
Jim Cooper,Democrat,Tennessee,-87.07,36.177,15019,5,TN,1954
John W. Rose,Republican,Tennessee,-85.781,36.2,21959,6,TN,1965
