icpsr,NAME,PARTY,STATE_NAME,LonX,LatY
22151,Victoria Spartz,Republican,Indiana,-85.861,40.254
21952,Greg Pence,Republican,Indiana,-85.363,39.481
20757,André Carson,Democrat,Indiana,-86.139,39.747
21132,Larry Bucshon,Republican,Indiana,-87.198,38.739
21725,Trey Hollingsworth,Republican,Indiana,-86.207,38.787
22134,Tracy Mann,Republican,Kansas,-99.403,38.73
22130,Jake LaTurner,Republican,Kansas,-95.435,38.488
21914,Sharice Davids,Democrat,Kansas,-94.793,38.892
21750,Ron Estes,Republican,Kansas,-97.74,37.544
21565,James Comer,Republican,Kentucky,-87.185,37.082
20916,Brett Guthrie,Republican,Kentucky,-85.989,37.536
20723,John A. Yarmuth,Democrat,Kentucky,-85.694,38.188
31102,Thomas Massie,Republican,Kentucky,-84.427,38.571
14854,Harold Rogers,Republican,Kentucky,-83.522,37.369
21333,Andy Barr,Republican,Kentucky,-84.163,38.048
20759,Steve Scalise,Republican,Louisiana,-90.113,29.736
22158,Troy A. Carter,Democrat,Louisiana,-90.642,30.049
21724,Clay Higgins,Republican,Louisiana,-92.473,30.024
21727,Mike Johnson,Republican,Louisiana,-93.18,31.798
22157,Julia Letlow,Republican,Louisiana,-91.825,31.768
21523,Garret Graves,Republican,Louisiana,-91.055,30.311
15616,Richard E. Neal,Democrat,Massachusetts,-72.857,42.322
29729,James P. McGovern,Democrat,Massachusetts,-72.118,42.386
21977,Lori Trahan,Democrat,Massachusetts,-71.575,42.585
22100,Jake Auchincloss,Democrat,Massachusetts,-71.233,41.995
21375,Katherine M. Clark,Democrat,Massachusetts,-71.311,42.355
21525,Seth Moulton,Democrat,Massachusetts,-70.98,42.636
21955,Ayanna Pressley,Democrat,Massachusetts,-71.081,42.302
20119,Stephen F. Lynch,Democrat,Massachusetts,-71.023,42.146
21140,William R. Keating,Democrat,Massachusetts,-70.617,41.747
21139,Andy Harris,Republican,Maryland,-75.971,38.865
20329,C. A. Dutch Ruppersberger,Democrat,Maryland,-76.489,39.347
20724,John P. Sarbanes,Democrat,Maryland,-76.751,39.191
21707,Anthony G. Brown,Democrat,Maryland,-76.752,38.967
14873,Steny H. Hoyer,Democrat,Maryland,-76.768,38.559
21978,David Trone,Democrat,Maryland,-78.387,39.499
15433,Kweisi Mfume,Democrat,Maryland,-76.796,39.402
21741,Jamie Raskin,Democrat,Maryland,-77.251,39.433
20920,Chellie Pingree,Democrat,Maine,-70.119,43.877
21923,Jared F. Golden,Democrat,Maine,-69.128,45.556
21704,Jack Bergman,Republican,Michigan,-86.443,45.865
21142,Bill Huizenga,Republican,Michigan,-85.991,43.513
22137,Peter Meijer,Republican,Michigan,-85.244,42.717
21526,John R. Moolenaar,Republican,Michigan,-84.751,43.735
21372,Daniel T. Kildee,Democrat,Michigan,-83.778,43.686
15446,Fred Upton,Republican,Michigan,-85.9,42.187
20725,Tim Walberg,Republican,Michigan,-84.333,42.102
21965,Elissa Slotkin,Democrat,Michigan,-83.941,42.647
21940,Andy Levin,Democrat,Michigan,-83.053,42.532
22136,Lisa McClain,Republican,Michigan,-82.99,43.323
21972,Haley Stevens,Democrat,Michigan,-83.457,42.532
21529,Debbie Dingell,Democrat,Michigan,-83.463,42.215
21975,Rashida Tlaib,Democrat,Michigan,-83.252,42.325
21530,Brenda L. Lawrence,Democrat,Michigan,-83.203,42.48
22167,Brad Finstad,Democrat,Minnesota,-93.705,43.887
21910,Angie Craig,Democrat,Minnesota,-92.849,44.488
21953,Dean Phillips,Democrat,Minnesota,-93.53,44.996
20122,Betty McCollum,Democrat,Minnesota,-92.981,45.002
21950,Ilhan Omar,Democrat,Minnesota,-93.295,44.981
21531,Tom Emmer,Republican,Minnesota,-93.854,45.335
22114,Michelle Fischbach,Republican,Minnesota,-95.687,46.595
21969,Pete Stauber,Republican,Minnesota,-93.136,47.207
22106,Cori Bush,Democrat,Missouri,-90.295,38.728
21337,Ann Wagner,Republican,Missouri,-90.534,38.604
20926,Blaine Luetkemeyer,Republican,Missouri,-91.555,38.578
21149,Vicky Hartzler,Republican,Missouri,-93.31,38.284
20517,Emanuel Cleaver,Democrat,Missouri,-93.772,39.142
20124,Sam Graves,Republican,Missouri,-93.298,39.937
21150,Billy Long,Republican,Missouri,-93.698,36.989
21373,Jason Smith,Republican,Missouri,-90.93,37.19
21561,Trent Kelly,Republican,Mississippi,-89.006,34.196
29368,Bennie G. Thompson,Democrat,Mississippi,-90.346,33.2
21927,Michael Guest,Republican,Mississippi,-89.733,32.015
21148,Steven M. Palazzo,Republican,Mississippi,-89.094,31.057
22148,Matt Rosendale,Republican,Montana,-109.645,47.033
20340,G. K. Butterfield,Democrat,North Carolina,-77.491,36.009
22149,Deborah K. Ross,Democrat,North Carolina,-78.719,35.729
21987,Gregory F. Murphy,Republican,North Carolina,-76.891,35.378
15438,David E. Price,Democrat,North Carolina,-78.755,36.04
20521,Virginia Foxx,Republican,North Carolina,-81.441,35.906
22135,Kathy Manning,Democrat,North Carolina,-79.88,36.081
21544,David Rouzer,Republican,North Carolina,-78.349,34.661
21346,Richard Hudson,Republican,North Carolina,-79.54,35.293
21986,Dan Bishop,Republican,North Carolina,-79.698,34.902
20522,Patrick T. McHenry,Republican,North Carolina,-80.586,36.095
22109,Madison Cawthorn,Republican,North Carolina,-82.878,35.482
21545,Alma S. Adams,Democrat,North Carolina,-80.838,35.272
21708,Ted Budd,Republican,North Carolina,-79.794,35.911
21901,Kelly Armstrong,Republican,North Dakota,-100.469,47.446
22166,Mike Flood,Republican,Nebraska,-96.831,41.378
21701,Don Bacon,Republican,Nebraska,-96.16,41.229
20729,Adrian Smith,Republican,Nebraska,-100.232,41.549
21951,Chris Pappas,Democrat,New Hampshire,-71.223,43.476
21340,Ann M. Kuster,Democrat,New Hampshire,-71.719,43.769
21536,Donald Norcross,Democrat,New Jersey,-75.051,39.789
91980,Jeff Van Drew,Democrat,New Jersey,-74.908,39.477
21937,Andy Kim,Democrat,New Jersey,-74.563,39.919
14863,Christopher H. Smith,Republican,New Jersey,-74.322,40.163
21723,Josh S. Gottheimer,Democrat,New Jersey,-74.628,41.058
15454,Frank Pallone Jr.,Democrat,New Jersey,-74.267,40.461
21942,Tom Malinowski,Democrat,New Jersey,-74.789,40.628
20542,Albio Sires,Democrat,New Jersey,-74.116,40.729
29741,Bill Pascrell Jr.,Democrat,New Jersey,-74.078,40.862
31103,Donald M. Payne Jr.,Democrat,New Jersey,-74.212,40.71
21964,Mikie Sherrill,Democrat,New Jersey,-74.451,40.904
21538,Bonnie Watson Coleman,Democrat,New Jersey,-74.571,40.373
22159,Melanie A. Stansbury,Democrat,New Mexico,-106.055,34.769
22123,Yvette Herrell,Republican,New Mexico,-106.297,33.381
22131,Teresa Leger Fernandez,Democrat,New Mexico,-105.822,35.995
20927,Dina Titus,Democrat,Nevada,-115.152,36.138
21196,Mark E. Amodei,Republican,Nevada,-117.306,40.646
21938,Susie Lee,Democrat,Nevada,-115.114,35.731
21339,Steven Horsford,Democrat,Nevada,-116.001,38.091
21539,Lee M. Zeldin,Republican,New York,-72.688,40.913
22117,Andrew Garbarino,Republican,New York,-73.285,40.729
21747,Thomas R. Suozzi,Democrat,New York,-73.495,40.831
21540,Kathleen M. Rice,Democrat,New York,-73.616,40.672
29776,Gregory W. Meeks,Democrat,New York,-73.776,40.66
