source,target,year,quarter,log_git_pushes,weight
NL,BG,2020,1,14.133748993181037,2.550003920646854
NL,VN,2020,1,14.133748993181037,1.6659740509909207
NL,ZA,2020,1,14.133748993181037,2.811106355293923
NL,BR,2020,1,14.133748993181037,4.573828771667433
NL,UA,2020,1,14.133748993181037,4.183414474439074
NL,CL,2020,1,14.133748993181037,2.254642161520845
NL,GB,2020,1,14.133748993181037,5.989896446521828
NL,HU,2020,1,14.133748993181037,1.7925367742993497
NL,IN,2020,1,14.133748993181037,4.58759835239119
NL,EE,2020,1,14.133748993181037,3.038282170136071
NL,BE,2020,1,14.133748993181037,4.531344506681668
NL,CZ,2020,1,14.133748993181037,3.96776517808379
NL,PT,2020,1,14.133748993181037,2.8211566911474244
LT,IT,2020,1,11.637317722633211,4.375918790076913
LT,NO,2020,1,11.637317722633211,4.2328179464362385
LT,UA,2020,1,11.637317722633211,5.031710184093089
LT,SE,2020,1,11.637317722633211,4.51277797279411
LT,AT,2020,1,11.637317722633211,5.105076408159891
LT,RU,2020,1,11.637317722633211,4.952532154380906
LT,US,2020,1,11.637317722633211,7.83915156265852
LT,GB,2020,1,11.637317722633211,6.078239696657727
LT,PL,2020,1,11.637317722633211,4.348890117688993
LT,DE,2020,1,11.637317722633211,6.630713219234609
LT,DK,2020,1,11.637317722633211,4.118873687087021
LT,NG,2020,1,11.637317722633211,4.161074041577398
LT,IL,2020,1,11.637317722633211,6.884975900097196
LT,TR,2020,1,11.637317722633211,6.849652139266787
LT,FR,2020,1,11.637317722633211,5.031710184093089
RU,JP,2020,1,14.832088156278054,3.74387766519631
RU,AT,2020,1,14.832088156278054,2.744620635526334
RU,ES,2020,1,14.832088156278054,4.105508461453678
RU,SG,2020,1,14.832088156278054,4.325274531999658
RU,FR,2020,1,14.832088156278054,5.384419163446063
RU,FI,2020,1,14.832088156278054,4.9082220299477415
RU,BG,2020,1,14.832088156278054,4.542703782050429
RU,KZ,2020,1,14.832088156278054,2.924632722471626
RU,CA,2020,1,14.832088156278054,4.657872770504357
RU,IN,2020,1,14.832088156278054,4.617221003237897
RU,UA,2020,1,14.832088156278054,5.532021263208319
RU,MX,2020,1,14.832088156278054,3.015730152496328
RU,LV,2020,1,14.832088156278054,2.061800569122238
RU,TH,2020,1,14.832088156278054,2.6388755784294293
RU,CY,2020,1,14.832088156278054,1.9685430756356554
RU,BE,2020,1,14.832088156278054,3.0051199733843124
RU,NG,2020,1,14.832088156278054,2.761773714752583
RU,KR,2020,1,14.832088156278054,2.7549477496821835
RU,PT,2020,1,14.832088156278054,2.115146549827531
RU,SK,2020,1,14.832088156278054,2.611583436141422
RU,IE,2020,1,14.832088156278054,3.649076909753486
RU,CZ,2020,1,14.832088156278054,3.936758982205267
RU,NL,2020,1,14.832088156278054,5.286957993233569
RU,PK,2020,1,14.832088156278054,3.826953494905581
RU,ID,2020,1,14.832088156278054,2.02695383779207
RU,CH,2020,1,14.832088156278054,3.3086753949923837
RU,MD,2020,1,14.832088156278054,1.9144758543653797
RU,SE,2020,1,14.832088156278054,4.361642176170533
RU,LU,2020,1,14.832088156278054,2.4672656772304027
RU,BR,2020,1,14.832088156278054,2.546254088549033
RU,BY,2020,1,14.832088156278054,4.7472222360035845
RU,DK,2020,1,14.832088156278054,2.8863364373943456
RU,US,2020,1,14.832088156278054,8.02984224512204
RU,HU,2020,1,14.832088156278054,3.0545448567118356
RU,DE,2020,1,14.832088156278054,6.5954306107656695
RU,PL,2020,1,14.832088156278054,3.9399052878946317
RU,AU,2020,1,14.832088156278054,4.803082386736976
RU,IT,2020,1,14.832088156278054,4.393412337166876
RU,RO,2020,1,14.832088156278054,3.9799311540704756
RU,UZ,2020,1,14.832088156278054,2.635022009113439
RU,LT,2020,1,14.832088156278054,1.840367882211658
RU,RS,2020,1,14.832088156278054,1.9065076847162028
RU,TR,2020,1,14.832088156278054,2.325218019574388
RU,AZ,2020,1,14.832088156278054,1.814392395808397
RU,AR,2020,1,14.832088156278054,3.0570797123150237
RU,GB,2020,1,14.832088156278054,5.71423627266852
RU,CN,2020,1,14.832088156278054,4.427424772027236
RU,IL,2020,1,14.832088156278054,4.165767652971875
RU,GR,2020,1,14.832088156278054,2.9943960100213367
RU,NO,2020,1,14.832088156278054,2.778637520804588
RU,HK,2020,1,14.832088156278054,4.195399450578246
RU,EE,2020,1,14.832088156278054,3.6448663772171424
RU,TW,2020,1,14.832088156278054,2.9303964271883762
RU,CL,2020,1,14.832088156278054,3.8682911829278064
CA,MX,2020,1,14.866041930886816,1.8687267389989843
CA,BR,2020,1,14.866041930886816,3.2263453001422087
CA,CH,2020,1,14.866041930886816,3.7739410844610823
CA,RS,2020,1,14.866041930886816,1.5265847494148224
CA,DE,2020,1,14.866041930886816,5.830918732107033
CA,CN,2020,1,14.866041930886816,4.469975785074304
CA,GB,2020,1,14.866041930886816,5.521722661553476
CA,CO,2020,1,14.866041930886816,1.7122175675124334
CA,MY,2020,1,14.866041930886816,2.2021656062568686
CA,IS,2020,1,14.866041930886816,1.1505335265129513
CA,TW,2020,1,14.866041930886816,1.8722540795169529
CA,DK,2020,1,14.866041930886816,2.1842851809790202
CA,NZ,2020,1,14.866041930886816,2.447838270631107
CA,IL,2020,1,14.866041930886816,3.322481584908839
CA,LV,2020,1,14.866041930886816,1.2984536565895737
CA,HU,2020,1,14.866041930886816,1.317030042162509
CA,AR,2020,1,14.866041930886816,2.305498751732193
CA,RU,2020,1,14.866041930886816,3.6054042070932595
CA,SG,2020,1,14.866041930886816,2.8774323615389656
CA,FI,2020,1,14.866041930886816,2.386594645390388
CA,KE,2020,1,14.866041930886816,2.4258153585436695
CA,RO,2020,1,14.866041930886816,1.9947209644857629
CA,PL,2020,1,14.866041930886816,3.3653164160625497
CA,ES,2020,1,14.866041930886816,3.3233070079850067
CA,ZA,2020,1,14.866041930886816,2.447838270631107
CA,ID,2020,1,14.866041930886816,1.5064835700937356
CA,US,2020,1,14.866041930886816,8.519275454412394
CA,CZ,2020,1,14.866041930886816,4.024261912613487
CA,KR,2020,1,14.866041930886816,1.9068596086944285
CA,FR,2020,1,14.866041930886816,4.817434073908113
CA,BE,2020,1,14.866041930886816,2.9986459322921384
CA,CL,2020,1,14.866041930886816,0.8961086758176533
CA,PK,2020,1,14.866041930886816,0.8961086758176533
CA,SE,2020,1,14.866041930886816,4.311534568478177
CA,UA,2020,1,14.866041930886816,3.1108324130203644
CA,TR,2020,1,14.866041930886816,2.4094884652562403
CA,IE,2020,1,14.866041930886816,1.6304516128158655
CA,NG,2020,1,14.866041930886816,1.6526254703101877
CA,TH,2020,1,14.866041930886816,1.5608179210570645
CA,IN,2020,1,14.866041930886816,4.4141887225382614
CA,BO,2020,1,14.866041930886816,2.8876888617061547
CA,NO,2020,1,14.866041930886816,2.684748017709464
CA,PT,2020,1,14.866041930886816,1.5215972079037834
CA,IR,2020,1,14.866041930886816,2.287065050043355
CA,LB,2020,1,14.866041930886816,2.983694532439175
CA,AT,2020,1,14.866041930886816,2.8696703562034767
CA,AU,2020,1,14.866041930886816,4.130563450782095
CA,JP,2020,1,14.866041930886816,3.356575796251815
CA,IT,2020,1,14.866041930886816,3.31085354691372
CA,HK,2020,1,14.866041930886816,2.4576905670741183
CA,NL,2020,1,14.866041930886816,4.130195330034334
HR,GB,2020,1,11.56223930152315,6.96134368849448
HR,PL,2020,1,11.56223930152315,4.352657456755521
HR,IT,2020,1,11.56223930152315,4.300013723270099
HR,FI,2020,1,11.56223930152315,5.166432625104081
HR,CH,2020,1,11.56223930152315,5.327055819436957
HR,FR,2020,1,11.56223930152315,5.772568428674396
HR,DE,2020,1,11.56223930152315,7.000830619778789
HR,CA,2020,1,11.56223930152315,5.929077600160948
HR,US,2020,1,11.56223930152315,7.752999772097943
HR,ES,2020,1,11.56223930152315,4.997655293417884
HR,CZ,2020,1,11.56223930152315,5.123873010685285
HR,RS,2020,1,11.56223930152315,4.7552694958812785
HR,IN,2020,1,11.56223930152315,5.242972702226416
HR,NO,2020,1,11.56223930152315,4.984111068310126
HR,NL,2020,1,11.56223930152315,4.805419279566751
HR,GR,2020,1,11.56223930152315,4.684233722764527
BB,CA,2020,1,7.797291273547472,8.194449072631494
BB,GB,2020,1,7.797291273547472,8.035269044399234
FI,ES,2020,1,13.021309131996764,4.452978248586057
FI,FR,2020,1,13.021309131996764,4.490200959076666
FI,UA,2020,1,13.021309131996764,5.010596033858807
FI,BD,2020,1,13.021309131996764,3.0403931922344496
FI,PH,2020,1,13.021309131996764,3.336238575325391
FI,SE,2020,1,13.021309131996764,4.970963807474141
FI,BE,2020,1,13.021309131996764,3.717011070843184
FI,PL,2020,1,13.021309131996764,4.102840204434489
FI,BR,2020,1,13.021309131996764,4.316305342596783
FI,EE,2020,1,13.021309131996764,3.4513079051101787
FI,US,2020,1,13.021309131996764,8.133690710891791
FI,RU,2020,1,13.021309131996764,5.857077234339455
FI,GB,2020,1,13.021309131996764,6.284521249166394
FI,IT,2020,1,13.021309131996764,4.316305342596783
FI,DE,2020,1,13.021309131996764,6.370546419639096
FI,AT,2020,1,13.021309131996764,3.853143245167764
FI,BY,2020,1,13.021309131996764,3.4674807643557797
FI,NL,2020,1,13.021309131996764,4.819781369659958
FI,CA,2020,1,13.021309131996764,4.28846131642561
FI,IE,2020,1,13.021309131996764,3.4458583003426138
FI,AU,2020,1,13.021309131996764,3.3423176214017736
FI,CZ,2020,1,13.021309131996764,4.877554317241784
FI,GR,2020,1,13.021309131996764,3.0238638902832387
FI,IN,2020,1,13.021309131996764,4.845721390668573
FI,NO,2020,1,13.021309131996764,4.855111131018412
FI,IL,2020,1,13.021309131996764,2.9637599662135337
FI,CH,2020,1,13.021309131996764,3.3780357040038527
FI,DK,2020,1,13.021309131996764,3.4886455755478227
FI,HK,2020,1,13.021309131996764,4.739162193416817
