ID,LatY,LonX,Label,aiportname,city,country,centrality,dist to center
AKN,58.6768,-156.649002,King Salmon,King Salmon Airport,King Salmon,United States,0,0
JFK,40.639801,-73.7789,New York,John F Kennedy International Airport,New York,United States,0,0
CHS,32.898602,-80.040497,Charleston,Charleston Air Force Base-International Airport,Charleston,United States,0,0
RNO,39.4991,-119.767998,Reno,Reno Tahoe International Airport,Reno,United States,0,0
KTN,55.355598,-131.714004,Ketchikan,Ketchikan International Airport,Ketchikan,United States,0,0
BHM,33.562901,-86.753502,Birmingham,Birmingham-Shuttlesworth International Airport,Birmingham,United States,0,0
SMF,38.6954,-121.591003,Sacramento,Sacramento International Airport,Sacramento,United States,0,0
BUF,42.940498,-78.732201,Buffalo,Buffalo Niagara International Airport,Buffalo,United States,0,0
BDL,41.9389,-72.683197,Windsor Locks,Bradley International Airport,Windsor Locks,United States,0,0
LBB,33.663601,-101.822998,Lubbock,Lubbock Preston Smith International Airport,Lubbock,United States,0,0
ORD,41.9786,-87.9048,Chicago,Chicago O'Hare International Airport,Chicago,United States,0,0
FAI,64.815102,-147.856003,Fairbanks,Fairbanks International Airport,Fairbanks,United States,0,0
PSP,33.8297,-116.507004,Palm Springs,Palm Springs International Airport,Palm Springs,United States,0,0
AMA,35.219398,-101.706001,Amarillo,Rick Husband Amarillo International Airport,Amarillo,United States,0,0
ILM,34.270599,-77.902603,Wilmington,Wilmington International Airport,Wilmington,United States,0,0
BTR,30.533199,-91.149597,Baton Rouge,Baton Rouge Metropolitan Airport,Baton Rouge,United States,0,0
BWI,39.1754,-76.668297,Baltimore,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,0,0
TUL,36.198399,-95.8881,Tulsa,Tulsa International Airport,Tulsa,United States,0,0
ISP,40.7952,-73.100197,Islip,Long Island Mac Arthur Airport,Islip,United States,0,0
MSP,44.882,-93.221802,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,0,0
MSY,29.993401,-90.258003,New Orleans,Louis Armstrong New Orleans International Airport,New Orleans,United States,0,0
