ID,LatY,LonX,Label,aiportname,city,country,centrality,dist to center
PWM,43.646198,-70.309303,Portland,Portland International Jetport Airport,Portland,United States,0,0
OKC,35.393101,-97.6007,Oklahoma City,Will Rogers World Airport,Oklahoma City,United States,0,0
ALB,42.748299,-73.801697,Albany,Albany International Airport,Albany,United States,0,0
SNA,33.675701,-117.867996,Santa Ana,John Wayne Airport-Orange County Airport,Santa Ana,United States,0,0
VPS,30.4832,-86.525398,Valparaiso,Destin-Ft Walton Beach Airport,Valparaiso,United States,0,0
EYW,24.556101,-81.759598,Key West,Key West International Airport,Key West,United States,0,0
CLT,35.214001,-80.9431,Charlotte,Charlotte Douglas International Airport,Charlotte,United States,0,0
LAS,36.080101,-115.152,Las Vegas,McCarran International Airport,Las Vegas,United States,0,0
MCO,28.429399,-81.308998,Orlando,Orlando International Airport,Orlando,United States,0,0
GSO,36.097801,-79.937302,Greensboro,Piedmont Triad International Airport,Greensboro,United States,0,0
FSD,43.582001,-96.741898,Sioux Falls,Joe Foss Field Airport,Sioux Falls,United States,0,0
MHT,42.932598,-71.435699,Manchester NH,Manchester-Boston Regional Airport,Manchester NH,United States,0,0
SDF,38.1744,-85.736,Louisville,Louisville International Standiford Field,Louisville,United States,0,0
CHO,38.138599,-78.452904,Charlottesville VA,Charlottesville Albemarle Airport,Charlottesville VA,United States,0,0
ROA,37.3255,-79.975403,Roanoke VA,Roanoke–Blacksburg Regional Airport,Roanoke VA,United States,0,0
LEX,38.036499,-84.605904,Lexington KY,Blue Grass Airport,Lexington KY,United States,0,0
EVV,38.036999,-87.532402,Evansville,Evansville Regional Airport,Evansville,United States,0,0
ABQ,35.040199,-106.609001,Albuquerque,Albuquerque International Sunport,Albuquerque,United States,0,0
GSP,34.895699,-82.218903,Greenville,Greenville Spartanburg International Airport,Greenville,United States,0,0
BMI,40.4771,-88.915901,Bloomington,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,0,0
GPT,30.407301,-89.070099,Gulfport,Gulfport Biloxi International Airport,Gulfport,United States,0,0
FWA,40.9785,-85.195099,Fort Wayne,Fort Wayne International Airport,Fort Wayne,United States,0,0
CID,41.884701,-91.7108,Cedar Rapids,The Eastern Iowa Airport,Cedar Rapids,United States,0,0
PIA,40.6642,-89.693298,Peoria,General Wayne A. Downing Peoria International Airport,Peoria,United States,0,0
SRQ,27.395399,-82.554398,Sarasota,Sarasota Bradenton International Airport,Sarasota,United States,0,0
MLI,41.448502,-90.5075,Moline,Quad City International Airport,Moline,United States,0,0
FNT,42.965401,-83.743599,Flint,Bishop International Airport,Flint,United States,0,0
EUG,44.124599,-123.211998,Eugene,Mahlon Sweet Field,Eugene,United States,0,0
CAK,40.9161,-81.4422,Akron,Akron Canton Regional Airport,Akron,United States,0,0
HSV,34.637199,-86.775101,Huntsville,Huntsville International Carl T Jones Field,Huntsville,United States,0,0
MGM,32.300598,-86.393997,MONTGOMERY,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,United States,0,0
SFB,28.777599,-81.237503,Sanford,Orlando Sanford International Airport,Sanford,United States,0,0
CRW,38.3731,-81.593201,Charleston,Yeager Airport,Charleston,United States,0,0
AVP,41.338501,-75.723396,Scranton,Wilkes Barre Scranton International Airport,Scranton,United States,0,0
FAR,46.9207,-96.815804,Fargo,Hector International Airport,Fargo,United States,0,0
SPI,39.844101,-89.677902,Springfield,Abraham Lincoln Capital Airport,Springfield,United States,0,0
SGF,37.245701,-93.388603,Springfield,Springfield Branson National Airport,Springfield,United States,0,0
ABE,40.6521,-75.440804,Allentown,Lehigh Valley International Airport,Allentown,United States,0,0
XNA,36.281898,-94.306801,Bentonville,Northwest Arkansas Regional Airport,Bentonville,United States,0,0
OAJ,34.829201,-77.612099,Jacksonville NC,Albert J Ellis Airport,Jacksonville NC,United States,0,0
FAY,34.991199,-78.880302,Fayetteville,Fayetteville Regional Grannis Field,Fayetteville,United States,0,0
PIR,44.382702,-100.286003,Pierre,Pierre Regional Airport,Pierre,United States,0,0
MCG,62.9529,-155.606003,Mcgrath,McGrath Airport,Mcgrath,United States,0,0
ANI,61.5816,-159.542999,Aniak,Aniak Airport,Aniak,United States,0,0
AKP,68.133598,-151.742996,Anaktuvuk Pass,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,0,0
KVL,67.736198,-164.563004,Kivalina,Kivalina Airport,Kivalina,United States,0,0
PHO,68.3488,-166.799,Point Hope,Point Hope Airport,Point Hope,United States,0,0
UNK,63.888401,-160.798996,Unalakleet,Unalakleet Airport,Unalakleet,United States,0,0
KUK,60.874401,-162.524002,Kasigluk,Kasigluk Airport,Kasigluk,United States,0,0
KWK,59.876499,-163.169005,Kwigillingok,Kwigillingok Airport,Kwigillingok,United States,0,0
MLL,61.8643,-162.026001,Marshall,Marshall Don Hunter Sr Airport,Marshall,United States,0,0
RSH,61.778885,-161.319458,Russian Mission,Russian Mission Airport,Russian Mission,United States,0,0
HUS,66.0411,-154.263001,Hughes,Hughes Airport,Hughes,United States,0,0
HSL,65.697899,-156.350998,Huslia,Huslia Airport,Huslia,United States,0,0
SHG,66.8881,-157.162003,Shungnak,Shungnak Airport,Shungnak,United States,0,0
CGA,55.478889,-133.147778,Craig,Craig Seaplane Base,Craig,United States,0,0
KTB,55.688056,-132.536667,Thorne Bay,Thorne Bay Seaplane Base,Thorne Bay,United States,0,0
ABL,67.1063,-157.856989,Ambler,Ambler Airport,Ambler,United States,0,0
OBU,66.9123,-156.897003,Kobuk,Kobuk Airport,Kobuk,United States,0,0
WAA,65.622593,-168.095,Wales,Wales Airport,Wales,United States,0,0
KKA,64.939499,-161.154007,Koyuk,Koyuk Alfred Adams Airport,Koyuk,United States,0,0
SKK,64.371101,-161.223999,Shaktoolik,Shaktoolik Airport,Shaktoolik,United States,0,0
WBB,63.515833,-162.278056,Stebbins,Stebbins Airport,Stebbins,United States,0,0
KYU,64.876099,-157.727005,Koyukuk,Koyukuk Airport,Koyukuk,United States,0,0
SCM,61.845299,-165.570999,Scammon Bay,Scammon Bay Airport,Scammon Bay,United States,0,0
NUP,60.905833,-162.439167,Nunapitchuk,Nunapitchuk Airport,Nunapitchuk,United States,0,0
CKD,61.867778,-158.135,Crooked Creek,Crooked Creek Airport,Crooked Creek,United States,0,0
SLQ,61.7005,-157.166,Sleetmute,Sleetmute Airport,Sleetmute,United States,0,0
NME,60.471001,-164.701004,Nightmute,Nightmute Airport,Nightmute,United States,0,0
OOK,60.541401,-165.087006,Toksook Bay,Toksook Bay Airport,Toksook Bay,United States,0,0
TNK,60.575556,-165.271667,Tununak,Tununak Airport,Tununak,United States,0,0
